=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.10.29 13:47:14 =~=~=~=~=~=~=~=~=~=~=~=
Sensor 1: 23.44 °C	Sensor 2: 24.00 °C	Sensor 3: 23.6 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.31 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.31 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.37 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.31 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.25 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.25 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.19 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.19 °C	Sensor 2: 23.94 °C	Sensor 3: 23.56 °C
Sensor 1: 23.06 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 23.00 °C	Sensor 2: 23.94 °C	Sensor 3: 23.62 °C
Sensor 1: 22.94 °C	Sensor 2: 23.94 °C	Sensor 3: 23.69 °C
Sensor 1: 22.87 °C	Sensor 2: 23.94 °C	Sensor 3: 23.69 °C
Sensor 1: 22.81 °C	Sensor 2: 23.94 °C	Sensor 3: 23.69 °C
Sensor 1: 22.75 °C	Sensor 2: 23.94 °C	Sensor 3: 23.75 °C
Sensor 1: 22.62 °C	Sensor 2: 23.94 °C	Sensor 3: 23.81 °C
Sensor 1: 22.62 °C	Sensor 2: 23.94 °C	Sensor 3: 23.87 °C
Sensor 1: 22.50 °C	Sensor 2: 23.94 °C	Sensor 3: 23.94 °C
Sensor 1: 22.44 °C	Sensor 2: 23.94 °C	Sensor 3: 24.00 °C
Sensor 1: 22.37 °C	Sensor 2: 23.94 °C	Sensor 3: 24.06 °C
Sensor 1: 22.25 °C	Sensor 2: 23.94 °C	Sensor 3: 24.12 °C
Sensor 1: 22.19 °C	Sensor 2: 23.94 °C	Sensor 3: 24.19 °C
Sensor 1: 22.12 °C	Sensor 2: 23.94 °C	Sensor 3: 24.25 °C
Sensor 1: 22.00 °C	Sensor 2: 23.94 °C	Sensor 3: 24.37 °C
Sensor 1: 21.94 °C	Sensor 2: 23.94 °C	Sensor 3: 24.44 °C
Sensor 1: 21.87 °C	Sensor 2: 23.94 °C	Sensor 3: 24.50 °C
Sensor 1: 21.81 °C	Sensor 2: 23.94 °C	Sensor 3: 24.62 °C
Sensor 1: 21.69 °C	Sensor 2: 23.94 °C	Sensor 3: 24.69 °C
Sensor 1: 21.62 °C	Sensor 2: 23.94 °C	Sensor 3: 24.75 °C
Sensor 1: 21.50 °C	Sensor 2: 23.94 °C	Sensor 3: 24.87 °C
Sensor 1: 21.44 °C	Sensor 2: 23.94 °C	Sensor 3: 24.94 °C
Sensor 1: 21.37 °C	Sensor 2: 23.94 °C	Sensor 3: 25.00 °C
Sensor 1: 21.25 °C	Sensor 2: 23.87 °C	Sensor 3: 25.06 °C
Sensor 1: 21.12 °C	Sensor 2: 23.94 °C	Sensor 3: 25.19 °C
Sensor 1: 21.12 °C	Sensor 2: 23.94 °C	Sensor 3: 25.31 °C
Sensor 1: 21.00 °C	Sensor 2: 23.87 °C	Sensor 3: 25.37 °C
Sensor 1: 20.94 °C	Sensor 2: 23.94 °C	Sensor 3: 25.44 °C
Sensor 1: 20.81 °C	Sensor 2: 23.94 °C	Sensor 3: 25.56 °C
Sensor 1: 20.75 °C	Sensor 2: 23.94 °C	Sensor 3: 25.62 °C
Sensor 1: 20.69 °C	Sensor 2: 23.94 °C	Sensor 3: 25.75 °C
Sensor 1: 20.62 °C	Sensor 2: 23.94 °C	Sensor 3: 25.87 °C
Sensor 1: 20.50 °C	Sensor 2: 23.87 °C	Sensor 3: 25.94 °C
Sensor 1: 20.44 °C	Sensor 2: 23.94 °C	Sensor 3: 25.94 °C
Sensor 1: 20.31 °C	Sensor 2: 23.94 °C	Sensor 3: 26.06 °C
Sensor 1: 20.25 °C	Sensor 2: 23.87 °C	Sensor 3: 26.19 °C
Sensor 1: 20.19 °C	Sensor 2: 23.94 °C	Sensor 3: 26.25 °C
Sensor 1: 20.12 °C	Sensor 2: 23.87 °C	Sensor 3: 26.31 °C
Sensor 1: 20.00 °C	Sensor 2: 23.94 °C	Sensor 3: 26.37 °C
Sensor 1: 19.94 °C	Sensor 2: 23.87 °C	Sensor 3: 26.44 °C
Sensor 1: 19.81 °C	Sensor 2: 23.94 °C	Sensor 3: 26.56 °C
Sensor 1: 19.81 °C	Sensor 2: 23.94 °C	Sensor 3: 26.62 °C
Sensor 1: 19.75 °C	Sensor 2: 23.94 °C	Sensor 3: 26.69 °C
Sensor 1: 19.62 °C	Sensor 2: 23.94 °C	Sensor 3: 26.69 °C
Sensor 1: 19.56 °C	Sensor 2: 23.94 °C	Sensor 3: 26.81 °C
Sensor 1: 19.50 °C	Sensor 2: 23.94 °C	Sensor 3: 26.87 °C
Sensor 1: 19.44 °C	Sensor 2: 23.94 °C	Sensor 3: 26.94 °C
Sensor 1: 19.31 °C	Sensor 2: 23.87 °C	Sensor 3: 26.94 °C
Sensor 1: 19.25 °C	Sensor 2: 23.87 °C	Sensor 3: 27.06 °C
Sensor 1: 19.19 °C	Sensor 2: 23.94 °C	Sensor 3: 27.12 °C
Sensor 1: 19.12 °C	Sensor 2: 23.87 °C	Sensor 3: 27.19 °C
Sensor 1: 19.06 °C	Sensor 2: 23.94 °C	Sensor 3: 27.25 °C
Sensor 1: 19.00 °C	Sensor 2: 23.94 °C	Sensor 3: 27.31 °C
Sensor 1: 18.94 °C	Sensor 2: 23.87 °C	Sensor 3: 27.37 °C
Sensor 1: 18.87 °C	Sensor 2: 23.94 °C	Sensor 3: 27.44 °C
